Growth,Log_size,Species,Patch_type,Landscape
6.628041376,5.375278408,Rhizophora mucronata,Northern,10
7.038783541,5.472270674,Rhizophora mucronata,Northern,10
11.03204692,6.879355804,Rhizophora mucronata,Northern,10
6.908754779,5.310739887,Rhizophora mucronata,Northern,10
9.2023082,4.985317486,Rhizophora mucronata,Northern,10
6.739336627,4.916324615,Rhizophora mucronata,Northern,10
6.65929392,5.49614311,Rhizophora mucronata,Northern,10
5.886104031,4.007333185,Rhizophora mucronata,Northern,10
7.049254841,4.412798293,Rhizophora mucronata,Northern,10
5.030437921,3.912023005,Avicennia marina,Northern,10
8.843615092,6.674561392,Rhizophora mucronata,Northern,10
10.26854725,6.80516869,Rhizophora mucronata,Northern,10
7.418180823,4.094344562,Rhizophora mucronata,Northern,10
6.8134446,4.094344562,Avicennia marina,Northern,10
8.787525626,7.140651122,Avicennia marina,Northern,10
9.574983486,6.782192056,Avicennia marina,Northern,10
6.931227635,5.752572639,Avicennia marina,Northern,10
8.666474894,4.435271149,Avicennia marina,Northern,10
2.1690537,2.910991045,Avicennia marina,Northern,10
10.20092192,6.183117431,Avicennia marina,Northern,10
10.51107684,5.059425458,Avicennia marina,Northern,10
10.30092049,6.697034248,Avicennia marina,Southern,10
6.834646807,4.635941845,Avicennia marina,Southern,10
9.116029693,5.192956851,Avicennia marina,Southern,10
9.200290036,6.182084907,Avicennia marina,Southern,10
10.25797511,6.358708442,Rhizophora mucronata,Southern,10
8.399760095,7.081708586,Sonneratia alba,Southern,10
7.572502985,4.682131227,Rhizophora mucronata,Northern,10
7.43838353,5.790724405,Rhizophora mucronata,Northern,10
8.628018747,5.184588601,Rhizophora mucronata,Northern,10
6.086774727,5.241747015,Sonneratia alba,Northern,10
5.253581473,5.049856007,Rhizophora mucronata,Northern,10
7.470224136,5.966146739,Sonneratia alba,Northern,10
9.425250118,5.953243334,Rhizophora mucronata,Northern,10
5.784209724,2.910991045,Rhizophora mucronata,Southern,10
4.762173935,5.480638923,Sonneratia alba,Southern,10
7.069874128,5.66296048,Rhizophora mucronata,Southern,10
9.54859673,8.003697339,Avicennia marina,Southern,10
8.645410489,4.49980967,Rhizophora mucronata,Southern,10
9.30054664,3.80666249,Rhizophora mucronata,Southern,10
5.703782475,3.465735903,Rhizophora mucronata,Southern,10
9.66827142,7.426549072,Sonneratia alba,Western,10
8.382060517,4.317488114,Rhizophora mucronata,Eastern,10
7.025538315,4.836281907,Sonneratia alba,Western,10
8.983377035,6.451654555,Sonneratia alba,Western,10
10.53001405,6.194405391,Sonneratia alba,Western,10
11.79900626,6.43735157,Sonneratia alba,Western,10
12.99453001,6.492239835,Avicennia marina,Southern,10
5.847882819,3.688879454,Sonneratia alba,Southern,10
6.394426525,5.049856007,Sonneratia alba,Southern,10
6.882437471,2.351375257,Sonneratia alba,Southern,10
3.855452654,6.585481762,Sonneratia alba,Western,10
7.783224016,6.003887067,Rhizophora mucronata,Western,10
7.069874128,6.499787041,Sonneratia alba,Western,10
9.897066985,5.952593773,Rhizophora mucronata,Western,10
5.575949103,3.267665989,Rhizophora mucronata,Western,10
6.65929392,5.857933154,Sonneratia alba,Southern,10
9.677840871,5.241747015,Sonneratia alba,Southern,10
7.620705087,5.752572639,Sonneratia alba,Southern,10
9.303830715,3.912023005,Sonneratia alba,Southern,10
12.94118437,6.672823772,Sonneratia alba,Western,10
9.969228475,7.218909708,Sonneratia alba,Western,10
12.2905057,4.818263401,Sonneratia alba,Western,10
9.638544967,6.761572769,Sonneratia alba,Eastern,10
9.824444345,5.894402834,Sonneratia alba,Eastern,10
7.957177323,5.991464547,Sonneratia alba,Western,10
5.966146739,8.23270601,Sonneratia alba,Eastern,10
6.180016654,4.566948973,Sonneratia alba,Eastern,10
3.80666249,4.941642423,Sonneratia alba,Western,10
4.65396035,4.143134726,Rhizophora mucronata,Eastern,10
8.932410591,5.318119994,Rhizophora mucronata,Eastern,10
6.040254711,4.818263401,Rhizophora mucronata,Eastern,10
8.958797346,6.510258341,Rhizophora mucronata,Eastern,10
8.894670263,5.480638923,Rhizophora mucronata,Eastern,10
5.201255654,4.836281907,Rhizophora mucronata,Eastern,10
8.720134035,5.338739281,Sonneratia alba,Central,10
10.61565274,6.329720906,Sonneratia alba,Central,10
5.768320996,7.247080585,Sonneratia alba,Central,10
9.424887076,5.395897695,Rhizophora mucronata,Central,10
9.113278659,4.366278278,Sonneratia alba,Western,10
4.682131227,6.715383386,Avicennia marina,Western,10
7.534762657,4.49980967,Sonneratia alba,Central,10
2.302585093,6.109247583,Avicennia marina,Western,10
7.98616486,5.609471795,Sonneratia alba,Central,10
9.831722986,7.418180823,Sonneratia alba,Central,10
6.739336627,4.762173935,Rhizophora mucronata,Central,10
9.893437217,6.214608098,Rhizophora mucronata,Central,10
10.13958682,6.499787041,Sonneratia alba,Central,10
9.274019149,5.541263545,Sonneratia alba,Northern,10
6.590301048,6.086774727,Sonneratia alba,Northern,10
5.613584207,2.995732274,Sonneratia alba,Northern,10
8.893915831,2.420368129,Sonneratia alba,Northern,10
9.064157862,3.988984047,Rhizophora mucronata,Northern,10
5.278114659,4.959342,Rhizophora mucronata,Northern,10
11.43069537,5.991464547,Rhizophora mucronata,Northern,10
8.255828427,5.834810737,Rhizophora mucronata,Northern,10
9.03025631,6.628041376,Avicennia marina,Northern,10
12.15127849,7.569411792,Sonneratia alba,Northern,10
11.007419,6.719013154,Avicennia marina,Central,10
8.451053389,3.17805383,Avicennia marina,Central,10
7.77317368,5.480638923,Avicennia marina,Central,10
6.530877628,3.688879454,Rhizophora mucronata,Central,10
7.129297549,4.040855877,Avicennia marina,Central,10
6.516193076,4.762173935,Rhizophora mucronata,Central,10
9.944245545,8.159374737,Sonneratia alba,Central,10
3.518980417,5.010635294,Rhizophora mucronata,Central,10
8.674538762,5.298317367,Rhizophora mucronata,Central,10
6.551080335,2.351375257,Avicennia marina,Central,10
3.401197382,2.825833237,Avicennia marina,Central,10
5.347107531,4.852030264,Rhizophora mucronata,Central,10
8.894258825,6.761572769,Rhizophora mucronata,Central,10
7.344072851,5.583496309,Avicennia marina,Central,10
9.641473227,5.81711116,Avicennia marina,Central,52
10.00392095,7.718685495,Avicennia marina,Western,52
11.94234145,5.488937726,Sonneratia alba,Southern,52
5.66122286,5.199187401,Avicennia marina,Eastern,52
8.459511111,5.478135793,Avicennia marina,Central,52
11.63768411,6.674561392,Avicennia marina,Southern,52
9.746833742,7.859413155,Avicennia marina,Eastern,52
10.81083844,6.608000625,Rhizophora mucronata,Southern,52
11.9377225,7.965545573,Avicennia marina,Eastern,52
9.910959567,6.797940413,Avicennia marina,Southern,52
7.394800374,5.480638923,Avicennia marina,Southern,52
11.23151701,8.707482918,Avicennia marina,Eastern,52
12.20399048,8.546363569,Avicennia marina,Eastern,52
10.56746336,7.473551926,Avicennia marina,Southern,52
10.48408175,7.470224136,Avicennia marina,Eastern,52
10.26727092,6.97634807,Avicennia marina,Eastern,52
11.28938183,6.204557763,Avicennia marina,Eastern,52
11.51462402,7.544332108,Avicennia marina,Eastern,52
11.25340316,7.118826249,Avicennia marina,Southern,52
10.75890238,5.75827066,Avicennia marina,Southern,52
11.84366703,6.266251332,Avicennia marina,Western,52
5.154735638,5.341376856,Avicennia marina,Eastern,52
12.9049981,5.470588587,Avicennia marina,Eastern,52
12.65765769,7.114769448,Avicennia marina,Western,52
9.076408899,4.317488114,Avicennia marina,Eastern,52
10.31692083,4.025351691,Avicennia marina,Western,52
11.63348243,8.049292949,Rhizophora mucronata,Western,52
12.4202925,9.047520221,Rhizophora mucronata,Western,52
9.836064876,7.719684996,Rhizophora mucronata,Eastern,52
9.166780257,7.584773078,Rhizophora mucronata,Eastern,52
10.30654978,8.342839804,Rhizophora mucronata,Eastern,52
11.01214918,6.915723449,Avicennia marina,Western,52
9.207837242,5.934894196,Rhizophora mucronata,Central,52
7.381190514,6.728628613,Sonneratia alba,Central,52
5.857933154,4.356708827,Sonneratia alba,Western,52
12.00407273,7.051855623,Avicennia marina,Western,52
12.87799619,8.044731504,Rhizophora mucronata,Central,52
10.00061426,5.241747015,Rhizophora mucronata,Central,52
10.09328112,7.103322063,Avicennia marina,Central,52
8.196987927,7.92732436,Rhizophora mucronata,Central,52
11.16365164,10.15781965,Rhizophora mucronata,Central,52
12.31825782,6.040254711,Sonneratia alba,Central,52
12.98761524,6.431331082,Sonneratia alba,Central,52
4.029806041,3.295836866,Sonneratia alba,Central,52
8.037866235,4.9698133,Sonneratia alba,Central,52
8.534934873,6.585481762,Rhizophora mucronata,Central,52
10.84122662,2.197224577,Sonneratia alba,Central,52
10.99002726,6.234410726,Rhizophora mucronata,Central,52
10.64808801,6.234410726,Rhizophora mucronata,Central,52
4.317488114,4.584967479,Sonneratia alba,Central,52
10.23527024,5.97126184,Rhizophora mucronata,Central,52
9.339173244,3.988984047,Sonneratia alba,Central,52
10.88136245,7.567862605,Rhizophora mucronata,Central,52
13.14117728,6.822197391,Sonneratia alba,Central,52
12.92154867,6.802394763,Sonneratia alba,Central,52
12.6637,6.915723449,Rhizophora mucronata,Central,52
12.15115173,7.109879463,Rhizophora mucronata,Central,52
9.924465959,7.060905458,Rhizophora mucronata,Central,52
11.98660981,7.23417718,Rhizophora mucronata,Eastern,52
6.69950034,3.704383641,Sonneratia alba,Eastern,52
9.025936649,6.487684018,Sonneratia alba,Eastern,52
10.74785254,7.960279998,Rhizophora mucronata,Central,52
12.11535441,7.333023014,Sonneratia alba,Central,52
10.10950936,7.633563242,Rhizophora mucronata,Eastern,52
12.89246204,7.015487979,Sonneratia alba,Central,52
7.138867,3.988984047,Sonneratia alba,Central,52
10.48122388,4.094344562,Sonneratia alba,Northern,52
